layer,patch_index,mi_score_mean_over_windows,group
2,0,0.039742820635437964,low
2,1,0.040676932483911514,low
2,2,0.041466670334339144,low
2,3,0.04241623602807522,low
2,4,0.04190505087375641,low
2,5,0.040335160940885545,low
2,6,0.040408210158348085,low
2,7,0.04073034532368183,low
2,8,0.042326662540435794,low
2,9,0.04289032444357872,low
2,10,0.04297890245914459,low
2,11,0.04149216875433922,low
2,12,0.04185431718826294,low
2,13,0.04165541157126427,low
2,14,0.04165083676576614,low
2,15,0.043067738115787506,high
2,16,0.04188071757555008,low
2,17,0.04454857930541038,high
2,18,0.04376292660832405,high
2,19,0.04277191810309887,low
2,20,0.04152727723121643,low
2,21,0.043264622539281844,high
2,22,0.04296705514192581,low
2,23,0.04423674896359444,high
2,24,0.04388475611805916,high
2,25,0.04296249985694885,low
2,26,0.042704233527183534,low
2,27,0.04537065804004669,high
