layer,patch_index,mi_score_mean_over_windows,group
3,0,0.03883054882287979,low
3,1,0.039994721114635465,low
3,2,0.04049351908266544,low
3,3,0.041662194430828095,low
3,4,0.041263722628355023,low
3,5,0.03947984553873539,low
3,6,0.04019683316349983,low
3,7,0.040076192766427994,low
3,8,0.04133418127894402,low
3,9,0.04237815216183662,low
3,10,0.04147835358977318,low
3,11,0.04144159525632858,low
3,12,0.04126466125249863,low
3,13,0.04154504686594009,low
3,14,0.041118990033864974,low
3,15,0.04214266836643219,low
3,16,0.0412611623108387,low
3,17,0.04355318531394005,high
3,18,0.043469053357839585,high
3,19,0.043180529475212094,high
3,20,0.04192284509539604,low
3,21,0.04300208985805511,high
3,22,0.04269103601574898,low
3,23,0.043513977229595185,high
3,24,0.04314528897404671,high
3,25,0.04215696960687637,low
3,26,0.0422313503921032,low
3,27,0.044670243859291074,high
