patch_index,mi_score,group
0,0.018562140688300133,mid
1,0.0185841383645311,high
2,0.018508660700172187,low
3,0.01848421380855143,low
4,0.018533788819331674,mid
5,0.018568528199102728,mid
6,0.01875262998510152,high
