layer,patch_index,mi_score_mean_over_windows,group
5,0,0.03842721179127693,low
5,1,0.03983398526906967,low
5,2,0.04081603974103928,low
5,3,0.04171603865921497,low
5,4,0.041465788185596465,low
5,5,0.039492632523179055,low
5,6,0.040478099435567856,low
5,7,0.04033750042319298,low
5,8,0.04075476333498955,low
5,9,0.04160884387791157,low
5,10,0.041261247843503955,low
5,11,0.04073035627603531,low
5,12,0.04090110406279564,low
5,13,0.04150381177663803,low
5,14,0.04137404590845108,low
5,15,0.04175873801112175,low
5,16,0.04154925063252449,low
5,17,0.04231031253933906,low
5,18,0.0434990681707859,high
5,19,0.043675481230020526,high
5,20,0.041896899789571763,low
5,21,0.04297575190663338,high
5,22,0.04213721454143524,low
5,23,0.043135106563568115,high
5,24,0.042898777574300766,high
5,25,0.04228912308812141,low
5,26,0.042443335354328156,high
5,27,0.044042888879776004,high
