layer,patch_index,mi_score_mean_over_windows,group
1,0,0.04083441197872162,low
1,1,0.041620166450738905,low
1,2,0.042545902878046035,low
1,3,0.043577812016010284,low
1,4,0.04295521192252636,low
1,5,0.0416115540266037,low
1,6,0.04117087453603745,low
1,7,0.042190511971712114,low
1,8,0.04321932390332222,low
1,9,0.044409167617559434,high
1,10,0.04400932997465134,low
1,11,0.04197451129555702,low
1,12,0.04209626525640488,low
1,13,0.0423094792664051,low
1,14,0.043421669006347655,low
1,15,0.043346781581640244,low
1,16,0.043039733171463014,low
1,17,0.045249844044446944,high
1,18,0.0441440361738205,high
1,19,0.04265348210930824,low
1,20,0.041809454560279846,low
1,21,0.043657114654779436,low
1,22,0.043454331457614896,low
1,23,0.04507667094469071,high
1,24,0.045369973331689836,high
1,25,0.044245156198740004,high
1,26,0.04341519892215729,low
1,27,0.04678766787052155,high
