layer,patch_index,mi_score_mean_over_windows,group
0,0,0.041308319196105,low
0,1,0.042078347876667976,low
0,2,0.04306607700884342,low
0,3,0.0437525437772274,low
0,4,0.043155502378940586,low
0,5,0.042126686125993726,low
0,6,0.04139081582427025,low
0,7,0.04263249754905701,low
0,8,0.042943532168865206,low
0,9,0.04505827367305756,high
0,10,0.043928034007549285,high
0,11,0.041198891773819926,low
0,12,0.042169186472892764,low
0,13,0.04290097385644913,low
0,14,0.04326672986149788,low
0,15,0.04309456914663315,low
0,16,0.04336551144719124,low
0,17,0.04485443651676178,high
0,18,0.04342496812343597,low
0,19,0.04202504150569439,low
0,20,0.04145268023014068,low
0,21,0.042866047471761703,low
0,22,0.04305146113038063,low
0,23,0.044915283620357516,high
0,24,0.04555626302957535,high
0,25,0.0447505758702755,high
0,26,0.0438859723508358,low
0,27,0.046845220625400544,high
