layer,patch_index,mi_score_mean_over_windows,group
6,0,0.03936120055615902,low
6,1,0.0408388839662075,low
6,2,0.04189677909016609,low
6,3,0.04289109110832214,low
6,4,0.04287664622068405,low
6,5,0.04077089108526707,low
6,6,0.041410386860370636,low
6,7,0.041043440252542494,low
6,8,0.041374578177928924,low
6,9,0.042445858418941496,low
6,10,0.04231092408299446,low
6,11,0.04175320237874985,low
6,12,0.0424506676197052,low
6,13,0.04268275618553161,low
6,14,0.042417990416288374,low
6,15,0.04276662692427635,low
6,16,0.04326039969921112,low
6,17,0.04362869337201118,high
6,18,0.04461238592863083,high
6,19,0.04501538321375847,high
6,20,0.043475450575351716,high
6,21,0.044512114077806475,high
6,22,0.043330815136432645,low
6,23,0.04437071204185486,high
6,24,0.04345378890633583,low
6,25,0.043363177627325056,low
6,26,0.0434561263024807,low
6,27,0.04464930295944214,high
