layer,patch_index,mi_score_mean_over_windows,group
4,0,0.0386041159927845,low
4,1,0.03983030028641224,low
4,2,0.04026876881718636,low
4,3,0.0417200068384409,low
4,4,0.04109150774776935,low
4,5,0.039366586059331896,low
4,6,0.04024689570069313,low
4,7,0.04014408767223358,low
4,8,0.04110886201262474,low
4,9,0.04185868948698044,low
4,10,0.04129764705896378,low
4,11,0.04089669063687325,low
4,12,0.04081739917397499,low
4,13,0.04156033992767334,low
4,14,0.0411564601957798,low
4,15,0.041820585429668426,low
4,16,0.04123557418584824,low
4,17,0.04313020199537277,high
4,18,0.04339349284768104,high
4,19,0.043674983531236646,high
4,20,0.0421091228723526,low
4,21,0.04313085868954659,high
4,22,0.042430059164762494,low
4,23,0.04324225381016731,high
4,24,0.04311289042234421,high
4,25,0.04233941853046417,low
4,26,0.042585766315460204,low
4,27,0.04424954369664192,high
