layer,patch_index,mi_score,group
2,0,0.016292221064213665,mid
2,1,0.01649458040483296,high
2,2,0.016435256227850914,high
2,3,0.016278044774662704,mid
2,4,0.016127760242670774,low
2,5,0.016163511166814713,low
2,6,0.016433283628430218,mid
